Q1-Location,Q2-Price,Rooms,0,Bathrooms,Car Parks,Q6-Property Type,Q8-Furnishing
1,1,2,1,3,2,1,1
2,2,6,0,7,,2,2
3,3,3,0,4,2,3,2
4,,,,,,,
5,4,4,1,3,2,3,2
6,5,4,2,5,4,2,2
7,,,,,,,
6,6,5,0,4,4,4,2
6,7,4,1,4,3,5,2
8,8,3,0,2,1,6,2
9,,,,,,,
6,9,4,0,3,,7,2
6,10,3,1,3,,7,2
6,11,6,1,5,5,8,2
5,,,,,,,
6,12,4,1,3,,9,2
10,13,6,1,7,4,10,2
2,14,5,1,7,,10,2
11,15,4,1,4,2,3,2
11,16,4,1,6,3,3,1
12,17,3,2,4,2,3,2
2,18,1,0,1,1,11,1
11,17,3,1,4,3,12,1
11,19,3,1,4,,12,1
13,20,1,0,1,1,1,1
14,,5,0,4,,13,1
5,21,3,1,2,2,14,2
11,,,,,,,
3,22,3,1,4,1,15,2
11,23,3,0,4,,14,2
15,,,,,,,
9,24,4,1,4,4,12,3
16,25,3,0,2,,7,2
9,26,1,0,1,1,1,1
17,,,,,,,
1,27,2,0,2,1,1,1
11,28,4,1,4,,12,
11,29,4,2,4,,12,
4,,,,,,,
15,30,3,2,4,3,3,2
11,31,3,2,6,3,3,2
1,32,4,0,4,,16,2
1,33,3,1,4,2,16,1
1,34,1,0,2,1,1,2
2,35,6,0,5,5,2,2
14,4,6,0,5,3,13,1
1,36,3,1,4,3,16,1
11,37,2,0,2,1,1,1
11,38,3,0,2,2,3,2
5,39,4,1,4,4,15,2
5,40,4,0,3,2,15,2
6,,,,,,,
13,41,2,0,2,1,16,2
1,42,3,1,3,2,11,2
6,,,,,,,
18,43,2,0,2,1,17,1
11,32,4,2,6,,3,1
11,34,4,1,5,2,3,2
19,,,,,,,
1,44,3,1,3,2,14,1
9,45,5,0,6,3,12,2
9,46,4,1,5,4,3,2
20,,,,,,,
13,47,2,1,2,1,1,1
11,48,3,1,4,,12,2
1,49,2,0,2,1,11,1
14,50,4,1,4,2,13,2
21,51,1,0,1,1,1,2
1,17,2,0,2,1,16,1
1,34,1,0,2,1,11,2
11,23,3,1,4,2,3,2
19,52,4,0,3,3,18,2
22,53,4,1,2,2,3,2
1,54,3,1,3,3,1,
11,55,4,1,4,3,3,2
23,,,,,,,
1,56,3,1,5,2,12,1
11,16,4,1,6,3,12,1
18,,,,,,,
24,57,4,1,5,2,3,2
6,58,4,1,3,4,19,2
1,59,1,0,1,1,1,1
25,,,,,,,
1,60,2,1,2,2,3,1
1,61,3,1,3,2,16,2
1,62,3,1,5,2,3,1
2,,,,,,,
1,34,1,0,1,2,1,2
11,27,4,1,5,3,12,2
1,63,1,1,1,1,11,2
1,64,1,0,1,1,11,2
5,65,3,0,2,,14,2
5,31,6,1,7,,20,3
1,34,3,1,4,3,16,2
5,66,4,1,3,2,12,2
1,34,1,0,1,2,11,2
6,67,5,1,7,6,2,2
6,68,4,0,3,2,7,2
11,48,4,1,4,2,12,2
4,,,,,,,
1,69,2,0,2,1,12,2
3,70,3,1,4,1,14,2
4,,,,,,,
5,4,4,1,3,2,3,2
24,10,2,1,2,1,11,1
1,47,1,0,2,,1,1
25,,,,,,,
2,2,5,2,7,,2,
11,12,4,1,6,3,3,1
5,71,2,0,2,2,1,2
26,,,,,,,
16,72,5,1,5,4,20,2
1,15,1,0,1,1,16,1
12,73,3,1,3,,13,2
12,74,2,1,2,2,12,2
11,6,4,1,4,3,12,2
13,71,1,1,1,1,1,2
1,75,2,1,2,2,1,1
5,76,4,1,3,2,12,2
1,32,3,1,5,2,16,2
1,32,3,1,5,2,16,2
1,77,1,0,1,1,1,1
11,68,4,1,4,2,12,2
17,,,,,,,
6,78,4,0,3,3,7,2
1,1,2,0,2,1,12,2
27,,,,,,,
13,71,1,1,1,1,1,1
1,79,2,0,2,1,1,1
13,20,1,0,1,1,11,1
22,,,,,,,
13,80,2,0,2,1,16,2
12,81,3,1,4,,18,2
3,82,3,1,5,2,12,4
21,,,,,,,
1,61,1,0,1,1,15,1
14,83,3,0,3,1,11,3
2,84,5,1,6,,4,1
11,85,4,1,5,3,3,2
21,86,3,1,4,2,16,2
21,87,3,1,3,,3,1
28,88,6,1,7,6,10,2
1,89,3,0,3,2,14,
29,90,2,0,2,1,16,2
2,91,5,1,7,3,10,2
12,92,5,0,5,,21,2
12,34,4,0,3,2,7,2
5,,,,,,,
1,32,4,0,4,,16,2
11,85,4,1,5,3,12,3
1,51,3,0,3,1,1,1
11,93,4,0,4,2,12,
6,94,4,0,3,2,18,1
1,32,3,1,4,2,16,1
12,95,4,1,6,,22,2
5,96,4,1,4,4,3,2
5,4,4,1,3,3,3,2
1,48,3,0,1,1,3,2
20,97,3,1,3,3,3,1
1,74,2,2,3,2,11,1
15,98,2,0,2,1,1,
12,99,4,1,5,,13,2
12,100,5,1,6,,13,3
1,101,3,1,3,2,14,2
1,102,3,1,3,2,14,2
12,103,7,1,9,,23,2
12,104,2,1,3,,14,2
12,105,5,2,7,,23,3
12,106,3,1,4,,7,2
16,66,5,0,3,,5,2
11,107,4,0,4,,14,1
1,108,2,0,2,1,16,1
1,32,4,1,3,2,24,2
1,109,3,1,4,3,12,1
20,110,3,0,2,2,12,2
4,111,,,4,3,7,3
12,112,3,1,3,,12,2
12,113,4,1,5,,21,2
12,79,2,0,2,2,14,2
1,34,1,0,2,1,1,2
1,114,2,0,2,1,12,2
1,19,2,0,2,2,16,1
1,61,1,0,1,,25,1
1,115,1,0,1,1,1,2
1,32,3,0,4,2,16,2
6,68,4,0,3,2,7,2
2,107,4,0,3,3,7,
6,5,6,0,5,3,2,2
5,74,4,1,4,4,12,2
5,116,5,1,4,4,12,2
5,4,4,1,3,2,12,2
2,117,2,1,4,2,1,2
5,118,5,1,5,4,22,2
11,18,3,1,4,2,12,2
22,41,3,0,3,2,3,2
12,94,2,0,2,2,14,2
12,119,3,1,3,2,13,2
1,115,1,0,1,1,1,
1,120,3,0,3,1,3,1
1,6,3,1,4,3,12,1
1,35,3,1,4,2,16,2
1,121,2,1,3,1,16,1
1,6,2,0,2,1,11,1
1,7,1,1,2,1,11,2
6,74,3,0,2,2,26,
20,4,3,1,4,3,12,
16,122,3,1,2,4,27,2
1,123,2,0,2,1,16,1
16,47,4,0,3,2,7,2
2,124,6,0,5,4,2,2
11,43,4,0,4,2,12,2
23,125,4,1,5,4,10,2
13,126,1,0,1,1,28,
1,32,3,2,5,2,24,4
6,127,4,0,3,,7,2
30,128,3,1,4,2,3,2
29,129,2,0,2,,1,
1,130,3,1,4,3,16,2
18,131,1,0,1,1,11,2
18,132,2,0,1,1,11,2
31,133,3,0,2,2,1,2
6,54,3,0,2,,26,2
32,134,3,0,2,2,12,2
9,135,4,1,5,,12,2
11,114,3,1,4,,12,1
11,136,5,1,5,3,29,2
1,115,2,0,2,2,12,1
20,137,3,1,4,2,3,3
18,20,4,0,2,2,12,3
11,35,5,1,5,3,3,2
1,19,2,0,1,1,30,1
12,138,4,1,4,3,3,1
12,79,2,2,3,2,3,
1,43,4,1,5,,12,
5,139,5,1,6,4,13,2
6,67,5,1,7,6,8,2
11,114,4,1,4,2,3,2
1,36,2,0,2,2,1,2
1,140,3,1,4,2,16,2
32,126,3,0,2,2,1,2
1,114,2,1,2,1,12,1
1,54,4,1,5,3,12,2
22,141,3,0,2,1,12,
1,115,2,0,2,,3,1
1,61,1,0,1,1,15,2
1,61,1,0,1,1,15,2
1,77,2,1,2,1,16,1
1,142,3,1,4,2,16,2
11,85,4,1,6,,12,2
31,143,3,1,3,4,11,2
11,144,4,1,5,,12,2
11,23,4,1,4,2,3,2
24,145,2,1,3,1,1,2
12,15,3,1,3,2,7,1
16,146,5,0,4,,9,2
5,116,5,1,4,4,3,2
1,34,1,0,2,1,1,2
1,34,1,0,1,2,11,2
11,147,3,1,3,2,12,2
11,148,5,1,4,3,12,2
1,149,1,0,1,1,1,1
15,150,3,1,2,2,16,2
11,151,3,1,5,3,12,
11,123,3,1,4,2,12,2
1,152,4,1,6,2,24,1
11,108,3,0,2,2,12,2
1,153,2,0,2,1,12,2
13,52,2,0,2,1,11,2
2,107,3,1,4,2,3,2
5,4,4,1,4,,12,
11,17,3,0,2,2,12,1
11,34,4,1,6,3,3,2
1,61,2,1,2,,1,2
1,154,2,2,3,2,16,1
1,155,3,1,4,2,16,2
1,36,2,0,2,2,16,1
1,114,1,1,2,1,11,1
12,156,7,1,9,6,23,2
1,157,3,1,5,2,12,1
13,158,2,1,2,1,1,1
1,159,2,0,1,1,11,1
23,160,3,1,3,2,3,1
33,161,7,0,8,4,10,3
1,32,3,1,5,2,16,2
11,34,4,1,5,,12,2
34,162,4,2,6,4,2,1
12,87,3,2,4,2,3,2
13,74,3,0,2,2,14,1
1,163,1,0,1,1,14,2
35,164,2,0,2,1,3,2
4,41,4,1,4,,10,
36,165,4,1,6,3,31,2
1,166,2,0,2,1,11,
11,60,4,1,4,2,3,2
9,167,4,1,5,2,3,
11,168,3,1,4,2,12,2
11,23,4,1,4,2,12,2
36,165,5,1,6,3,32,2
1,9,3,1,2,3,12,1
1,169,3,0,3,2,12,1
1,168,2,0,2,1,14,1
1,32,4,1,5,2,16,2
1,153,2,0,2,1,12,2
11,170,,,,3,12,
1,168,2,0,2,1,12,
1,171,1,0,1,1,12,2
1,172,2,0,2,2,16,1
12,173,3,0,3,,13,2
2,174,1,1,2,1,1,2
12,115,2,1,3,2,14,2
28,175,7,0,7,6,10,2
2,124,5,1,4,6,10,2
12,176,3,1,4,,7,2
12,157,3,1,4,,7,2
12,116,2,0,2,,33,2
23,147,3,0,2,2,33,2
12,177,3,1,3,2,3,1
12,17,3,1,2,2,14,1
12,178,3,1,4,,13,2
12,179,4,1,4,,8,2
12,17,3,1,3,2,14,2
12,180,6,1,8,,23,2
12,70,2,1,3,2,12,2
12,34,4,0,3,,7,2
12,106,3,1,3,,7,2
12,7,3,1,3,,7,1
1,181,3,1,4,2,3,2
13,20,1,0,1,1,1,1
1,182,2,0,2,2,1,2
12,32,5,1,6,,34,2
1,183,3,1,4,2,16,1
15,126,3,0,2,1,1,2
1,183,1,0,1,1,11,1
12,1,2,1,2,2,14,2
12,95,3,1,5,3,22,2
12,108,2,1,3,2,14,3
12,81,3,1,4,3,7,2
23,115,3,0,2,2,35,2
19,178,4,1,6,4,10,2
6,74,3,0,2,2,26,
1,32,3,1,5,2,16,2
9,184,4,1,5,3,12,
1,185,2,0,2,2,1,2
1,115,1,0,1,1,30,2
1,186,1,0,1,,11,1
5,187,3,0,2,1,36,2
15,129,3,1,2,1,16,2
37,188,3,0,2,2,14,2
33,25,1,0,1,1,1,2
1,61,1,0,1,1,12,2
1,114,2,1,2,1,3,2
1,189,3,1,5,4,24,1
1,27,2,0,2,1,1,1
22,190,3,1,2,2,12,3
1,191,1,1,1,1,16,1
1,61,1,0,1,1,15,2
23,192,6,1,6,4,2,2
6,78,4,0,3,2,7,2
1,15,1,0,1,1,1,1
38,184,6,1,8,,10,2
1,34,1,0,1,1,1,2
14,193,4,1,6,4,13,2
14,147,4,1,6,4,22,2
1,61,1,0,1,1,12,2
1,80,2,1,3,1,16,1
20,194,4,0,2,2,16,3
14,193,4,1,6,,13,3
1,32,3,1,5,2,16,2
25,195,4,1,5,2,16,2
6,196,3,0,2,2,26,2
1,1,3,1,4,2,30,1
1,34,1,0,2,1,1,2
6,197,3,1,3,2,7,2
5,4,4,1,3,3,3,2
11,48,4,1,4,2,14,2
1,27,2,0,2,1,1,2
32,198,3,1,5,3,12,2
1,199,1,0,2,1,16,1
2,200,3,1,3,4,10,2
34,201,6,0,6,6,10,2
5,129,3,0,3,2,14,2
1,202,2,0,2,1,1,
11,48,4,1,4,2,14,2
21,203,1,0,1,1,1,2
26,204,1,0,1,,11,1
39,205,1,1,2,2,1,3
4,206,3,0,2,2,14,2
6,38,3,0,2,1,3,2
5,207,4,0,2,1,14,2
23,208,5,1,7,5,3,2
11,43,3,1,4,2,3,2
29,87,3,1,3,,7,
4,206,3,0,2,2,12,2
23,209,4,1,6,,12,2
17,53,3,0,2,1,3,2
11,210,1,0,1,1,11,1
11,211,3,1,3,3,3,2
11,212,4,1,4,3,12,2
1,32,4,0,4,2,16,1
6,38,3,0,2,2,26,2
12,178,4,1,4,3,5,2
6,12,4,1,4,3,4,2
6,94,4,0,3,2,18,2
6,19,3,0,2,2,26,1
23,84,7,0,4,4,8,2
6,9,4,0,3,4,18,2
2,18,4,0,3,2,7,3
11,7,3,1,4,3,12,1
12,202,4,1,4,,37,2
1,32,3,1,4,2,16,2
14,213,2,1,2,2,11,2
24,214,4,1,5,2,3,2
21,34,3,1,4,2,1,
21,215,4,1,5,,1,
21,216,4,1,4,,1,
1,15,3,0,3,2,12,1
5,4,4,1,3,3,3,2
5,217,4,0,2,2,12,
23,142,3,1,5,3,3,2
23,218,4,1,6,3,3,2
15,219,3,0,2,2,3,2
1,220,1,1,2,2,11,2
1,85,1,0,1,1,11,2
2,44,4,1,5,2,9,2
1,74,3,1,4,2,16,2
1,221,1,0,1,1,1,1
40,222,4,1,3,,18,3
1,223,3,1,3,3,30,1
5,122,1,1,1,1,11,2
23,224,3,1,5,4,12,2
23,225,4,1,5,4,12,2
2,226,6,1,6,,2,2
11,227,3,1,4,2,12,2
2,228,6,0,5,,2,2
10,218,4,2,5,,2,2
1,94,3,1,4,2,16,1
1,178,2,0,2,,1,1
23,229,4,1,6,4,3,2
29,230,4,1,5,6,4,3
8,231,4,1,3,2,7,2
5,44,6,1,7,4,8,2
23,232,6,0,7,6,12,2
23,233,4,0,5,3,3,2
23,140,3,1,5,3,12,2
29,234,3,0,2,1,14,2
29,234,3,0,2,1,14,2
11,235,3,1,4,2,12,2
1,121,2,1,3,1,16,1
22,236,3,1,2,2,1,2
41,116,,,,,12,
14,237,6,0,5,7,21,2
6,45,5,1,4,,8,2
6,238,3,2,2,,7,2
12,239,2,0,2,,12,1
23,240,3,1,5,4,12,2
1,19,2,0,2,1,12,1
12,181,3,1,5,,7,3
1,61,1,0,1,1,12,2
13,241,2,0,2,1,1,
13,242,3,0,2,1,1,
11,6,4,1,5,3,3,2
6,18,2,1,3,2,1,
6,176,3,1,4,2,1,2
7,180,5,1,6,4,8,1
22,236,3,1,2,2,1,3
10,162,7,1,9,6,10,2
1,243,14,0,16,10,2,2
6,43,3,1,3,3,18,2
20,244,3,0,3,2,12,2
6,62,4,0,3,2,18,
2,32,7,0,7,5,2,3
2,124,6,0,6,4,2,
1,245,2,1,3,,1,1
1,116,2,0,2,1,14,2
23,246,5,1,6,,2,1
30,247,3,1,3,2,3,1
5,38,5,1,3,4,3,2
5,248,4,0,3,2,3,2
16,9,6,0,4,6,19,1
1,79,1,1,2,1,1,1
15,249,3,0,2,1,14,2
1,61,1,0,1,1,15,2
1,250,1,0,1,,11,1
4,251,5,0,4,2,7,2
11,252,3,1,5,3,3,2
1,253,1,1,1,1,3,1
1,254,2,1,2,2,3,1
14,255,2,0,2,2,3,2
1,256,3,0,2,1,16,1
1,27,2,0,2,1,16,1
1,257,2,1,2,1,1,1
12,48,3,1,3,3,7,2
1,18,2,0,2,2,16,1
11,168,4,0,4,2,12,1
6,78,3,1,3,2,7,2
11,151,3,1,4,,3,2
6,96,3,0,2,2,26,3
11,258,4,1,5,2,12,2
11,48,3,0,3,2,1,
5,259,4,1,3,2,3,1
2,260,3,1,5,3,1,2
2,44,5,0,4,,4,
1,75,2,1,2,2,11,1
1,168,2,1,2,1,3,2
1,261,1,0,2,1,11,1
1,19,1,0,1,,30,1
9,262,4,1,6,,12,1
24,37,2,0,2,1,14,2
24,263,1,0,1,1,12,1
1,186,1,1,,,1,
11,95,5,1,4,4,4,2
33,78,,,,,38,
14,93,4,1,5,5,9,2
33,32,4,1,4,6,8,3
6,200,7,1,5,3,2,1
6,264,4,0,3,2,4,2
13,129,1,0,1,,11,1
4,213,4,0,3,2,7,3
14,61,5,0,4,2,13,2
21,265,3,1,4,1,1,3
2,147,1,1,2,1,1,2
19,77,6,0,6,3,9,2
4,266,1,0,1,1,11,2
1,267,3,1,4,,12,
14,,4,1,6,4,13,2
14,115,4,1,6,4,13,2
14,3,4,1,4,,39,2
1,116,3,0,3,2,1,1
21,258,3,1,5,2,16,2
33,268,5,1,6,2,8,2
33,87,3,1,4,2,14,1
14,269,5,0,6,4,13,3
22,236,3,1,2,2,1,2
11,210,1,0,1,1,11,1
11,235,3,1,3,2,12,2
1,4,2,1,2,,1,1
11,7,4,1,,3,12,2
11,10,3,1,4,2,12,1
1,61,1,0,1,1,12,1
22,249,1,0,1,,30,2
11,7,4,1,4,2,12,2
1,34,1,0,1,2,16,2
1,1,2,1,3,2,16,1
1,270,2,0,2,1,11,1
15,271,3,0,2,2,11,2
42,147,5,1,5,,20,2
1,61,1,0,1,1,15,1
23,272,4,1,6,3,3,
23,273,3,1,5,3,3,4
23,274,4,1,5,5,12,2
23,273,4,1,6,,12,2
2,228,6,1,9,10,8,1
2,14,5,1,7,3,2,2
23,2,5,2,6,6,2,2
41,275,2,0,2,1,12,1
21,167,3,0,3,1,1,2
1,276,3,0,3,2,14,
4,277,2,0,2,2,3,2
6,147,4,0,3,2,18,2
1,278,1,1,2,2,1,2
2,279,1,1,2,1,1,1
12,280,4,0,4,,18,2
11,281,3,1,4,2,3,2
1,19,2,0,2,1,16,1
5,96,4,1,4,4,3,2
5,4,4,1,3,2,3,2
15,37,3,1,4,2,14,2
43,282,3,0,2,1,3,2
5,4,3,0,2,,1,3
11,283,3,1,3,2,12,2
11,284,3,1,3,2,12,2
5,285,3,0,2,2,14,2
1,61,1,0,1,1,12,2
16,20,5,0,3,2,40,2
16,1,5,0,5,4,13,2
12,286,3,1,4,,18,2
1,95,1,0,2,1,1,2
12,93,5,1,5,,18,4
1,41,1,0,1,,11,1
4,118,6,0,5,,37,2
25,287,2,0,2,1,1,1
5,1,3,1,4,2,12,1
1,105,4,0,4,2,24,1
11,288,4,1,5,3,12,2
11,289,3,1,4,2,12,2
11,168,3,1,4,2,12,2
44,27,4,1,5,,13,2
15,248,2,2,2,2,15,3
5,290,3,0,2,2,12,2
15,18,3,1,4,4,3,2
6,43,4,0,3,3,7,2
2,202,4,1,5,4,41,2
15,110,3,0,2,2,1,1
1,61,1,0,1,1,12,2
24,291,3,1,4,3,29,1
15,79,3,2,4,3,3,
11,170,4,1,5,3,12,2
24,250,2,0,2,1,14,1
24,108,3,1,4,2,14,2
2,292,5,1,6,4,8,2
34,16,4,1,5,3,8,2
11,61,2,0,2,,1,2
1,34,1,0,2,1,1,2
1,32,3,1,5,2,16,2
11,34,4,1,4,2,12,4
1,61,1,0,1,1,15,2
1,293,2,0,2,2,3,2
11,294,4,2,,4,4,
