Rooms,2ype,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
2,1,2,2.5,3067,2,1,1,202,Yarra,-37.7996,144.9984,3,4019,1480000
2,1,2,2.5,3067,2,1,0,156,Yarra,-37.8079,144.9934,3,4019,1035000
3,1,4,2.5,3067,3,2,0,134,Yarra,-37.8093,144.9944,3,4019,1465000
3,1,1,2.5,3067,3,2,1,94,Yarra,-37.7969,144.9969,3,4019,850000
4,1,5,2.5,3067,3,1,2,120,Yarra,-37.8072,144.9941,3,4019,1600000
2,1,2,2.5,3067,2,1,0,181,Yarra,-37.8041,144.9953,3,4019,941000
3,1,2,2.5,3067,4,2,0,245,Yarra,-37.8024,144.9993,3,4019,1876000
2,1,2,2.5,3067,2,1,2,256,Yarra,-37.806,144.9954,3,4019,1636000
1,3,2,2.5,3067,1,1,1,0,Yarra,-37.8008,144.9973,3,4019,300000
2,1,2,2.5,3067,3,1,2,220,Yarra,-37.801,144.9989,3,4019,1097000
2,3,5,2.5,3067,2,2,1,0,Yarra,-37.811,145.0067,3,4019,700000
3,1,5,2.5,3067,3,2,2,214,Yarra,-37.8085,144.9964,3,4019,1350000
2,3,2,2.5,3067,2,2,1,0,Yarra,-37.8078,144.9965,3,4019,750000
2,1,2,2.5,3067,2,1,1,195,Yarra,-37.8084,144.9973,3,4019,1172500
1,3,4,2.5,3067,1,1,1,0,Yarra,-37.8016,144.9988,3,4019,441000
2,1,2,2.5,3067,2,1,2,238,Yarra,-37.809,144.9976,3,4019,1310000
3,1,2,2.5,3067,3,2,1,113,Yarra,-37.8056,144.993,3,4019,1200000
3,1,2,2.5,3067,2,1,1,138,Yarra,-37.8021,144.9965,3,4019,1176500
3,1,2,2.5,3067,3,1,0,183,Yarra,-37.8022,144.9975,3,4019,955000
2,1,2,2.5,3067,2,1,1,150,Yarra,-37.8011,145.0004,3,4019,890000
4,1,1,2.5,3067,4,2,2,780,Yarra,-37.8073,144.9952,3,4019,1330000
3,2,2,2.5,3067,3,2,2,0,Yarra,-37.8093,144.9959,3,4019,900000
3,3,2,2.5,3067,3,2,2,4290,Yarra,-37.8078,144.9965,3,4019,1090000
2,3,2,2.5,3067,2,1,1,0,Yarra,-37.8015,144.9972,3,4019,500000
2,1,1,2.5,3067,2,2,1,124,Yarra,-37.8079,144.9977,3,4019,1100000
2,1,2,2.5,3067,2,1,0,147,Yarra,-37.808,144.994,3,4019,1315000
1,3,4,2.5,3067,1,1,1,0,Yarra,-37.8016,144.9988,3,4019,426000
3,1,1,2.5,3067,3,3,1,166,Yarra,-37.8017,145.0001,3,4019,1447500
1,3,2,2.5,3067,1,1,1,0,Yarra,-37.8078,144.9965,3,4019,457000
2,1,2,2.5,3067,2,2,2,98,Yarra,-37.8005,144.9952,3,4019,1135000
4,1,2,2.5,3067,4,3,1,0,Yarra,-37.7994,144.9965,3,4019,1542000
3,1,2,2.5,3067,3,2,2,147,Yarra,-37.805,144.9943,3,4019,1290000
3,1,2,2.5,3067,3,1,1,168,Yarra,-37.8007,144.9958,3,4019,1290000
