BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT TO NOW,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE
1,1,07,5,0,1633,6440,117,2,C2,6625000
1,1,07,10,0,2272,6794,104,2,C4,3936272
1,1,07,6,0,2369,4615,117,2,C2,8000000
1,1,07,8,0,1750,4226,97,2,C4,3192840
1,1,08,24,0,4489,18523,97,2,D9,16232000
1,1,08,10,0,3717,12350,8,2,D1,10350000
1,1,09,0,0, -  , -  ,97,2,C6,1
1,1,09,0,0, -  , -  ,97,2,C6,499000
1,1,09,0,0, -  , -  ,97,2,C6,10
1,1,09,0,0, -  , -  ,97,2,C6,529500
1,1,09,0,0, -  , -  ,97,2,C6,423000
1,1,09,0,0, -  , -  ,92,2,C6,501000
1,1,09,0,0, -  , -  ,97,2,C6,450000
1,1,09,0,0, -  , -  ,97,2,C6,510000
1,1,09,0,0, -  , -  ,115,2,C6,350000
1,1,09,24,0,4131,16776,89,2,C6,11900000
1,1,09,0,0, -  , -  ,89,2,C6,11900000
1,1,09,0,0, -  , -  ,89,2,C6,350000
1,1,09,0,0, -  , -  ,89,2,C6,404000
1,1,09,0,0, -  , -  ,107,2,C6,535000
1,1,09,0,0, -  , -  ,97,2,C6,1400000
1,1,09,0,0, -  , -  ,117,2,C6,866000
1,1,09,0,0, -  , -  ,87,2,C6,355000
1,1,09,0,0, -  , -  ,117,2,C6,805000
1,1,09,0,0, -  , -  ,107,2,C6,475000
1,1,09,0,0, -  , -  ,97,2,C6,450000
1,1,09,0,0, -  , -  ,97,2,C6,450000
1,1,09,0,0, -  , -  ,82,2,C6,810000
1,1,09,0,0, -  , -  ,107,2,C6,300000
1,1,09,0,0, -  , -  ,107,2,C6,300000
1,1,09,0,0, -  , -  ,107,2,C6,579000
1,1,09,0,0, -  , -  ,117,2,C6,1500000
1,1,09,0,0, -  , -  ,117,2,C6,25000
1,1,09,0,0, -  , -  ,80,2,C6,512000
1,1,09,0,0, -  , -  ,80,2,C6,410000
1,1,09,0,0, -  , -  ,80,2,C6,500000
1,1,09,0,0, -  , -  ,80,2,C6,510000
1,1,09,0,0, -  , -  ,97,2,C6,475000
1,1,09,0,0, -  , -  ,97,2,C6,789019
1,1,09,0,0, -  , -  ,97,2,C6,425000
1,1,09,0,0, -  , -  ,97,2,C6,490000
1,1,09,0,0, -  , -  ,102,2,C6,409000
1,1,09,0,0, -  , -  ,102,2,C6,415000
1,1,09,0,0, -  , -  ,67,2,C6,420000
1,1,09,0,0, -  , -  ,67,2,C6,435000
